loss,accuracy,val_loss,val_accuracy,lr,policy
0.450237364,0.848999977,0.462331057,0.855333328,0.0003,1
0.172508776,0.939018548,0.244397789,0.914666653,0.0003,1
0.112820104,0.96005553,0.200292602,0.931166649,0.0003,1
0.079446092,0.971240759,0.279388458,0.917333305,0.0003,1
0.068267234,0.975259244,0.294702381,0.920000017,0.0003,1
0.048787028,0.982666671,0.261250079,0.930000007,0.0003,1
0.038684018,0.986629605,0.281659573,0.926333308,0.0003,1
0.034145407,0.98777777,0.270194769,0.934000015,0.0003,1
0.029699463,0.989444435,0.297595531,0.930999994,0.0003,1
0.023064805,0.992407382,0.282724202,0.933833361,0.0003,1
0.021222247,0.992722213,0.250846833,0.940166652,0.0003,1
0.02153194,0.992796302,0.281016946,0.934666693,0.0003,1
0.017592812,0.994222224,0.28477475,0.939666688,0.0003,1
0.006674577,0.997796297,0.235779822,0.952499986,0.0001,1
0.00092871,0.999833345,0.24147433,0.950833321,0.0001,1
0.000375647,0.999981463,0.251989573,0.950999975,0.0001,1
0.000226984,1,0.259782374,0.950833321,0.0001,1
0.000168625,1,0.267458409,0.950333357,0.0001,1
0.000261896,0.999944448,0.272567153,0.950166643,0.0001,1
0.000217285,0.999962986,0.278390199,0.951333344,0.0001,1
0.000658502,0.999888897,0.283110946,0.950999975,0.0001,1
0.000122645,1,0.290298313,0.950833321,0.0001,1
8.95E-05,1,0.294275075,0.951333344,0.0001,1
6.59E-05,1,0.297493011,0.951333344,3.33E-05,1
5.16E-05,1,0.299181551,0.952166677,3.33E-05,1
5.72E-05,1,0.302250654,0.951166689,3.33E-05,1
4.90E-05,1,0.302268535,0.951166689,3.33E-05,1
4.60E-05,1,0.303672612,0.950999975,3.33E-05,1
3.95E-05,1,0.306153417,0.951166689,3.33E-05,1
3.57E-05,1,0.308134943,0.951333344,3.33E-05,1
3.69E-05,1,0.309615225,0.951499999,3.33E-05,1
3.17E-05,1,0.310939074,0.951666653,3.33E-05,1
3.04E-05,1,0.312918633,0.951166689,3.33E-05,1
4.13E-05,1,0.314283937,0.950999975,1.11E-05,1
2.94E-05,1,0.315011144,0.951166689,1.11E-05,1
2.97E-05,1,0.315907627,0.950833321,1.11E-05,1
2.68E-05,1,0.316372633,0.951166689,1.11E-05,1
2.99E-05,1,0.316745847,0.951166689,1.11E-05,1
2.48E-05,1,0.317151695,0.951333344,1.11E-05,1
2.28E-05,1,0.318035066,0.951333344,1.11E-05,1
2.20E-05,1,0.318672538,0.951166689,1.11E-05,1
2.73E-05,1,0.319014639,0.950999975,1.11E-05,1
2.69E-05,1,0.319734305,0.950999975,1.11E-05,1
0.689458966,0.763629615,0.493289709,0.836333334,0.0003,2
0.338649571,0.877185166,0.312559247,0.894333363,0.0003,2
0.282323658,0.897185206,0.310229301,0.895166695,0.0003,2
0.261008978,0.905574083,0.260130972,0.910000026,0.0003,2
0.23058939,0.916537046,0.201585129,0.931333363,0.0003,2
0.221250832,0.919185162,0.188289627,0.931500018,0.0003,2
0.208779737,0.922481477,0.203071415,0.929499984,0.0003,2
0.206133574,0.923333347,0.186336502,0.935333312,0.0003,2
0.181005567,0.934111118,0.164280862,0.940333307,0.0003,2
0.181892842,0.932796299,0.16818589,0.943000019,0.0003,2
0.176433936,0.935185194,0.193777382,0.932166696,0.0003,2
0.170455202,0.938055575,0.158200026,0.945500016,0.0003,2
0.185102132,0.917148173,0.156013881,0.943497892,0.0003,2
0.201007649,0.927592576,0.153857946,0.941500008,0.0003,2
0.177514255,0.935611129,0.189642355,0.933333337,0.0003,2
0.159752145,0.942499995,0.16139774,0.946166694,0.0003,2
0.15373309,0.943870366,0.171021685,0.941833317,0.0003,2
0.155454069,0.943462968,0.188197061,0.93416667,0.0003,2
0.162709206,0.941111088,0.167441055,0.941500008,0.0003,2
0.139807016,0.948759258,0.17608808,0.94083333,0.0003,2
0.132601991,0.951796293,0.164810523,0.943333328,0.0003,2
0.127134308,0.953666687,0.160383061,0.944000006,0.0003,2
0.132537246,0.952018499,0.156745985,0.947166681,0.0003,2
0.121544741,0.955462992,0.199550703,0.936999977,0.0003,2
0.101371154,0.96266669,0.154319286,0.949833333,0.0001,2
0.091567308,0.966370344,0.147194728,0.953166664,0.0001,2
0.099090882,0.9635185,0.149209738,0.950999975,0.0001,2
0.08433257,0.968740761,0.173021406,0.947666645,0.0001,2
0.084609419,0.969759285,0.147787973,0.952166677,0.0001,2
0.077193797,0.972481489,0.165464625,0.949999988,0.0001,2
0.083182193,0.970111132,0.156083941,0.950500011,0.0001,2
0.076007493,0.972907424,0.170367256,0.950500011,0.0001,2
0.080089524,0.971240759,0.15782167,0.952000022,0.0001,2
0.084386677,0.96953702,0.164390773,0.950999975,0.0001,2
0.076546818,0.971722245,0.159701347,0.952833354,0.0001,2
0.089404091,0.96685183,0.168781534,0.951499999,0.0001,2
0.071044765,0.974259257,0.15881151,0.95450002,3.33E-05,2
0.062126454,0.978074074,0.163813248,0.952833354,3.33E-05,2
0.057341028,0.978907406,0.16469568,0.952833354,3.33E-05,2
0.063366212,0.97692591,0.165882021,0.955666661,3.33E-05,2
0.059065584,0.978666663,0.163076311,0.955333352,3.33E-05,2
0.058348298,0.979018509,0.174798295,0.953000009,3.33E-05,2
0.062279463,0.977148175,0.171798319,0.95266664,3.33E-05,2
0.056732599,0.979481459,0.175922632,0.953166664,3.33E-05,2
0.06045996,0.977759242,0.176579222,0.952166677,3.33E-05,2
0.05739484,0.978925943,0.176374272,0.951666653,3.33E-05,2
0.048786558,0.982407391,0.174099565,0.95450002,1.11E-05,2
0.055879891,0.980074048,0.174773782,0.95450002,1.11E-05,2
0.047309991,0.983222246,0.181108758,0.953999996,1.11E-05,2
0.054234579,0.980611086,0.18340604,0.953000009,1.11E-05,2
0.060285587,0.9786852,0.175636366,0.95266664,1.11E-05,2
0.044182763,0.983907402,0.182117879,0.953333318,1.11E-05,2
0.047719773,0.982851863,0.185704082,0.953666687,1.11E-05,2
0.043991324,0.983907402,0.189753458,0.952833354,1.11E-05,2
0.044659581,0.983870387,0.187996477,0.953333318,1.11E-05,2
0.042563442,0.984685183,0.190722123,0.953666687,1.11E-05,2
0.059573278,0.977833331,0.181910932,0.953000009,3.70E-06,2
0.052498039,0.981259286,0.18276976,0.952499986,3.70E-06,2
0.039939884,0.985333323,0.187580064,0.954166651,3.70E-06,2
0.047122363,0.982907414,0.190496832,0.953499973,3.70E-06,2
0.046498306,0.982796311,0.191306695,0.953666687,3.70E-06,2
0.052063596,0.981240749,0.189163774,0.953166664,3.70E-06,2
0.050294846,0.981351852,0.190536618,0.953833342,3.70E-06,2
0.040566914,0.985314786,0.184698284,0.95450002,3.70E-06,2
0.038048893,0.986407399,0.187358513,0.954666674,3.70E-06,2
0.053981423,0.979907393,0.187267438,0.953999996,3.70E-06,2
0.307864755,0.898351848,0.825152099,0.808000028,0.0003,3
0.040572841,0.986851871,0.701442897,0.84799999,0.0003,3
0.016301597,0.99470371,0.571943104,0.867666662,0.0003,3
0.01525454,0.994814813,0.661612928,0.866166651,0.0003,3
0.009525131,0.997092605,0.709947944,0.862333357,0.0003,3
0.007157771,0.997555554,0.613980532,0.88016665,0.0003,3
0.012575968,0.995777786,0.813570499,0.861166656,0.0003,3
0.007629336,0.997444451,0.642116606,0.880999982,0.0003,3
0.004548089,0.998777807,0.718449295,0.879499972,0.0003,3
0.002969628,0.999055564,0.734499454,0.876333356,0.0003,3
0.002840289,0.999129653,0.676643133,0.883000016,0.0003,3
0.003089694,0.999055564,0.660778642,0.881500006,0.0003,3
0.005110362,0.998259246,0.783695221,0.877333343,0.0003,3
0.002111794,0.999388874,0.632723689,0.89016664,0.0001,3
0.000480185,0.999907434,0.627207398,0.891833305,0.0001,3
0.00019946,0.999944448,0.626962304,0.890999973,0.0001,3
7.49E-05,1,0.637015283,0.890833318,0.0001,3
6.17E-05,1,0.653165579,0.890833318,0.0001,3
7.73E-05,0.999981463,0.655700982,0.89200002,0.0001,3
3.78E-05,1,0.670406103,0.890333354,0.0001,3
2.39E-05,1,0.6779778,0.891333342,0.0001,3
2.24E-05,1,0.686190426,0.891833305,0.0001,3
1.72E-05,1,0.695658386,0.891166687,0.0001,3
2.85E-05,1,0.703126132,0.890500009,3.33E-05,3
1.95E-05,1,0.708490074,0.890500009,3.33E-05,3
1.78E-05,1,0.711691916,0.890500009,3.33E-05,3
2.33E-05,1,0.711497664,0.891833305,3.33E-05,3
1.59E-05,1,0.714134693,0.892499983,3.33E-05,3
1.52E-05,1,0.717891514,0.892499983,3.33E-05,3
1.35E-05,1,0.72116828,0.893000007,3.33E-05,3
1.31E-05,1,0.724827707,0.892499983,3.33E-05,3
1.30E-05,1,0.724959314,0.892833352,3.33E-05,3
1.09E-05,1,0.726328671,0.892333329,3.33E-05,3
1.36E-05,1,0.728033781,0.892333329,1.11E-05,3
1.04E-05,1,0.730177879,0.892666638,1.11E-05,3
1.23E-05,1,0.730215728,0.893000007,1.11E-05,3
1.41E-05,1,0.730811954,0.891666651,1.11E-05,3
1.09E-05,1,0.733407557,0.891499996,1.11E-05,3
8.19E-06,1,0.73617667,0.89200002,1.11E-05,3
9.33E-06,1,0.737992406,0.89200002,1.11E-05,3
6.87E-05,0.999981463,0.73871702,0.892166674,1.11E-05,3
2.42E-05,1,0.743074954,0.891166687,1.11E-05,3
1.26E-05,1,0.742330492,0.891333342,1.11E-05,3
0.299585104,0.899166644,0.343866259,0.892166674,0.0003,4
0.112901554,0.961833358,0.250758022,0.909666657,0.0003,4
0.073512942,0.974564791,0.255968153,0.922833323,0.0003,4
0.05494779,0.981138885,0.270216316,0.924333334,0.0003,4
0.042134956,0.984916687,0.239752293,0.933833361,0.0003,4
0.03317181,0.988342583,0.238388106,0.934833348,0.0003,4
0.027367951,0.990611136,0.261243999,0.93566668,0.0003,4
0.025599228,0.991296291,0.341018647,0.913500011,0.0003,4
0.022712074,0.991879642,0.293471247,0.933333337,0.0003,4
0.019042961,0.993518531,0.299541354,0.935833335,0.0003,4
0.017539229,0.994175911,0.320703864,0.928499997,0.0003,4
0.015381146,0.994675934,0.264456213,0.939666688,0.0003,4
0.014071205,0.995324075,0.360396415,0.927333355,0.0003,4
0.015676679,0.994750023,0.243574813,0.944666684,0.0003,4
0.013032624,0.995324075,0.293777376,0.939666688,0.0003,4
0.013889905,0.995120347,0.254978925,0.943000019,0.0003,4
