loss,accuracy,val_loss,val_accuracy,lr,policy
0.216445059,0.937537014,0.168670416,0.954166651,0.0003,1
0.019172005,0.994166672,0.048807241,0.985666692,0.0003,1
0.009887141,0.996944427,0.048124287,0.985666692,0.0003,1
0.007273845,0.997740746,0.046290915,0.987500012,0.0003,1
0.00683099,0.998018503,0.055164728,0.988499999,0.0003,1
0.006603157,0.99829632,0.0350256,0.992166638,0.0003,1
0.004772617,0.99862963,0.03760137,0.992833316,0.0003,1
0.006383256,0.998425901,0.046011705,0.991666675,0.0003,1
0.005369173,0.998555541,0.034923065,0.992999971,0.0003,1
0.005353795,0.998518527,0.027873939,0.99333334,0.0003,1
0.004035404,0.99888891,0.036180131,0.992166638,0.0003,1
0.004042491,0.998814821,0.035850592,0.992833316,0.0003,1
0.003205683,0.999074101,0.029524798,0.993166685,0.0003,1
0.00318062,0.999092579,0.033689935,0.994333327,0.0003,1
0.005482298,0.998333335,0.042383771,0.991166651,0.0003,1
0.003730082,0.999111116,0.032049149,0.993499994,0.0003,1
0.001570366,0.999518514,0.034228835,0.99333334,0.0003,1
0.00328394,0.999037027,0.035539061,0.993833363,0.0003,1
0.002226118,0.999462962,0.028513569,0.994333327,0.0003,1
0.001354908,0.999666691,0.040325314,0.992666662,0.0003,1
0.00070297,0.999851823,0.030876424,0.99483335,0.0001,1
9.70E-05,1,0.031732611,0.995000005,0.0001,1
4.18E-05,1,0.032524914,0.99483335,0.0001,1
4.39E-05,1,0.032551762,0.995166659,0.0001,1
4.11E-05,0.999981463,0.033028316,0.995000005,0.0001,1
2.30E-05,1,0.032906588,0.995166659,0.0001,1
1.60E-05,1,0.033373993,0.995333314,0.0001,1
1.59E-05,1,0.033905294,0.995166659,0.0001,1
1.36E-05,1,0.034020651,0.995166659,0.0001,1
1.34E-05,1,0.034773864,0.995166659,0.0001,1
9.22E-06,1,0.035022143,0.995500028,3.33E-05,1
8.23E-06,1,0.035211038,0.995333314,3.33E-05,1
8.15E-06,1,0.035209838,0.995666683,3.33E-05,1
1.34E-05,1,0.035449233,0.995500028,3.33E-05,1
8.24E-06,1,0.035621863,0.995333314,3.33E-05,1
7.72E-05,0.999962986,0.036515769,0.995333314,3.33E-05,1
8.54E-06,1,0.036722012,0.995333314,3.33E-05,1
9.17E-06,1,0.036921952,0.995166659,3.33E-05,1
7.25E-06,1,0.037146386,0.995166659,3.33E-05,1
1.02E-05,1,0.037138704,0.995166659,3.33E-05,1
8.11E-06,1,0.037234619,0.995166659,1.11E-05,1
6.58E-06,1,0.037287984,0.995166659,1.11E-05,1
6.54E-06,1,0.037319973,0.995166659,1.11E-05,1
7.74E-06,1,0.037474357,0.995166659,1.11E-05,1
7.40E-06,1,0.037547681,0.995166659,1.11E-05,1
6.15E-06,1,0.03748947,0.995333314,1.11E-05,1
6.05E-06,1,0.037631154,0.995333314,1.11E-05,1
6.34E-06,1,0.037754018,0.995166659,1.11E-05,1
5.98E-06,1,0.037655514,0.995166659,1.11E-05,1
7.86E-06,1,0.037739757,0.995333314,1.11E-05,1
0.344623774,0.89572221,0.13470456,0.966000021,0.0003,2
0.056045812,0.983537018,0.046455424,0.986166656,0.0003,2
0.047564648,0.986240745,0.03553836,0.988499999,0.0003,2
0.038242292,0.988796294,0.029093068,0.991833329,0.0003,2
0.029223174,0.990888894,0.02578235,0.993166685,0.0003,2
0.027826382,0.991611123,0.032875482,0.991666675,0.0003,2
0.033915296,0.990407407,0.029570259,0.991999984,0.0003,2
0.02255599,0.99333334,0.039280858,0.989833355,0.0003,2
0.045468889,0.988055527,0.033075899,0.991666675,0.0003,2
0.02141262,0.993314803,0.034340333,0.991999984,0.0003,2
0.021621909,0.993685186,0.031210141,0.993166685,0.0003,2
0.014896178,0.99542594,0.023961304,0.99483335,0.0003,2
0.015784079,0.995148122,0.027438715,0.993166685,0.0003,2
0.016571201,0.995314837,0.026180185,0.993666649,0.0003,2
0.026106717,0.991814792,0.025245328,0.992500007,0.0003,2
0.015265928,0.995018542,0.026913844,0.992999971,0.0003,2
0.015542134,0.995000005,0.028719986,0.993166685,0.0003,2
0.01881621,0.994259238,0.026877224,0.992999971,0.0003,2
0.016189767,0.995037019,0.029951122,0.992999971,0.0003,2
0.012426373,0.996481478,0.02189061,0.995000005,0.0003,2
0.015267756,0.995537043,0.067298636,0.982666671,0.0003,2
0.014938255,0.995629609,0.028862767,0.992333353,0.0003,2
0.011314153,0.996462941,0.026161952,0.99333334,0.0003,2
0.012878311,0.996018529,0.034360439,0.992500007,0.0003,2
0.011536904,0.996685207,0.027033744,0.994166672,0.0003,2
0.010073672,0.997092605,0.026588341,0.99333334,0.0003,2
0.013495076,0.996166646,0.028789446,0.992333353,0.0003,2
0.009165966,0.997148156,0.02621017,0.992833316,0.0003,2
0.013215904,0.995981455,0.026954435,0.99333334,0.0003,2
0.0123808,0.996166646,0.034470152,0.992500007,0.0003,2
0.008779315,0.997481465,0.022738025,0.994333327,0.0001,2
0.005605806,0.998407423,0.025694834,0.994166672,0.0001,2
0.007617811,0.9979074,0.022713067,0.994333327,0.0001,2
0.005946483,0.998148143,0.021580955,0.995166659,0.0001,2
0.004911386,0.998481452,0.02244496,0.995000005,0.0001,2
